
ID	PRODUTO	PRINCIPIOATIVO	QUANTIDADE POR EMBALAGEM	CÓDIGO
75	CARVEDILOL COMPRIMIDO 12,5MG	 	0	75
76	CARVEDILOL COMPRIMIDO 25MG	 	0	76
77	CEFALEXINA COMPRIMIDO 500 MG	 	0	77
78	CEFALEXINA SUSPENSÃO ORAL 50 MG/ML	NÃO INFORMADO	0	78
79	CEFAZOLINA SÓDICA PÓ PARA SOLUÇÃO INJETÁVEL 1 G DE CEFAZOLINA BASE	NÃO INFORMADO	0	79
80	CETAMINA SOLUÇÃO INJETÁVEL 50MG/ML	NÃO INFORMADO	0	80
81	CETOCONAZOL COMPRIMIDO 200 MG	NÃO INFORMADO	0	81
82	CETOCONAZOL XAMPU 20 MG/ML	NÃO INFORMADO	0	82
83	CETOCONAZOL CREME 20 MG/G	NÃO INFORMADO	0	83
84	CIANOCOBALAMINA SOLUÇÃO INJETÁVEL 500 MCG/ML	NÃO INFORMADO	0	84
85	CICLOBENZAPRINA COMPRIMIDO 10 MG	 	0	85
86	CICLOFOSFAMIDA MONOHIDRATADA ESTÉRIL 200 MG PARA RECONSTITUIÇÃO DE SOLUÇÃO INJETÁVEL	NÃO INFORMADO	0	86
87	CICLOFOSFAMIDA COMPRIMIDO REVESTIDO DE LIBERAÇÃO RETARDADA 50MG	 	0	87
88	CICLOPENTOLATO SOLUÇÃO OFTÁLMICA ESTÉRIL À 10MG/ML	NÃO INFORMADO	0	88
89	CILOSTAZOL COMPRIMIDO 100 MG	 	0	89
90	CINARIZINA COMPRIMIDO 75 MG	 	0	90
91	CIPROFLOXACINO, CLORIDRATO COMPRIMIDO 500 MG	 	0	91
92	CIPROFLOXACINO, CLORIDRATO SOLUÇÃO INJETÁVEL ESTÉRIL 2 MG/ML	 	0	92
93	CITALOPRAM COMPRIMIDO 20 MG	 	0	93
94	CLARITROMICINA COMPRIMIDO REVESTIDO 500 MG	 	0	94
95	CLARITROMICINA SUSPENSÃO ORAL 50 MG/ML	NÃO INFORMADO	0	95
96	CLINDAMICINA CÁPSULA 300 MG	 	0	96
97	CLOMIPRAMINA COMPRIMIDO 25 MG	 	0	97
98	CLOMIPRAMINA COMPRIMIDO 75 MG	 	0	98
99	CLONAZEPAM COMPRIMIDO SUBLINGUAL 0,25 MG	 	0	99
100	CLONAZEPAM COMPRIMIDO 2 MG	 	0	100
101	CLONAZEPAM SOLUÇÃO ORAL 2,5 MG/ML	NÃO INFORMADO	0	101
102	CLONIDINA COMPRIMIDO 0,100 MG	 	0	102
103	CLONIDINA COMPRIMIDO 0,200 MG	 	0	103
104	CLOPIDOGREL COMPRIMIDO 75 MG	 	0	104
105	CLORETO DE POTÁSSIO SOLUÇÃO ORAL 60 MG/ML	NÃO INFORMADO	0	105
106	CLORETO DE POTÁSSIO SOLUÇÃO INJETÁVEL ESTÉRIL A 10% (100 MG/ML)	NÃO INFORMADO	0	106
107	CLORETO DE SÓDIO SOLUÇÃO NASAL 9MG/ML	NÃO INFORMADO	0	107
108	CLORETO DE SÓDIO SOLUÇÃO NASAL 30MG/ML	NÃO INFORMADO	0	108
109	CLORETO DE SÓDIO SOLUÇÃO INJETÁVEL ESTÉRIL A 0,9%, 10 ML.	NÃO INFORMADO	0	109
110	CLORETO DE SÓDIO SOLUÇÃO INJETÁVEL ESTÉRIL A 20%, 10 ML.	NÃO INFORMADO	0	110
111	CLORETO DE SÓDIO 0,9% FRASCO 250 ML	NÃO INFORMADO	0	111
112	CLORETO DE SÓDIO 0,9% FRASCO 500 ML	NÃO INFORMADO	0	112
113	CLORETO DE SÓDIO 0,9% FRASCO 100 ML	NÃO INFORMADO	0	113
114	CLORETO DE SÓDIO + GLICOSE 5% + 0,9% FRASCO 250 ML.	NÃO INFORMADO	0	114
115	CLORETO DE SÓDIO + GLICOSE 5% + 0,9% FRASCO 500 ML.	NÃO INFORMADO	0	115
116	CLORPROMAZINA COMPRIMIDO 100 MG	 	0	116
117	CLORPROMAZINA COMPRIMIDO 25 MG	 	0	117
118	CLORPROMAZINA SOLUÇÃO ORAL 40 MG/ML	NÃO INFORMADO	0	118
119	CLORPROMAZINA SOLUÇÃO INJETÁVEL DE CLORIDRATO DE CLORPROMAZINA 5 MG/ML	NÃO INFORMADO	0	119
120	CLORTALIDONA COMPRIMIDO 25 MG	 	0	120
121	CLOTRIMAZOL CREME VAGINAL 10 MG/G	 	0	121
122	COLAGENASE POMADA 1,2 U/G	NÃO INFORMADO	0	122
123	COLCHICINA COMPRIMIDO 0,5 MG	 	0	123
124	COMPLEXO B DRÁGEA CONTENDO VITAMINA B1 (NITRATO DE TIAMINA) + VITAMINA B2 (RIBOFLAVINA) + VITAMINA B3 (NICOTINAMIDA) + VITAMINA B5 (PANTOTENATO DE CÁLCIO) + VITAMINA B6 (CLORIDRATO DE PIRIDOXINA) + VITAMINA B8 (BIOTINA) + VITAMINA B12 (CIANOCOBALAMINA).	 	0	124
125	COMPLEXO B SOLUÇÃO INJETÁVEL DE VITAMINA B1 (CLORIDRATO DE TIAMINA) + VITAMINA B2 (RIBOFLAVINA-5-FOSFATO) + VITAMINA B6 (CLORIDRATO DE PIRIDOXINA) + VITAMINA B3 (NICOTINAMIDA) + VITAMINA B5 (DEXPANTENOL)	 	0	125
126	CROMOGLICOLATO DISSÓDICO SOLUÇÃO OFTÁLMICA ESTÉRIL DE 40,0MG/ML (4%)	NÃO INFORMADO	0	126
127	DESLANOSÍDEO SOLUÇÃO INJETÁVEL 0,2MG/ML	NÃO INFORMADO	0	127
128	DEXAMETASONA SOLUÇÃO INJETÁVEL 4MG/ML	DEXAMETASONA	0	128
129	DEXAMETASONA SUSPENSÃO OFTÁLMICA ESTÉRIL A 1 MG/ML	DEXAMETASONA	0	129
130	DEXAMETASONA CREME DERMATOLÓGICO 1MG/G	DEXAMETASONA	0	130
131	DEXCLORFENIRAMINA SOLUÇÃO ORAL 0,4 MG/ML	NÃO INFORMADO	0	131
132	DEXCLORFENIRAMINA, MALEATO COMPRIMIDO 2MG	 	0	132
133	DEXTRANA + HIPROMELOSE SOLUÇÃO OFTÁLMICA 1,0 MG DE DEXTRANA 70 + 3,0 MG DE HIPROMELOSE/ML.	NÃO INFORMADO	0	133
134	DIAZEPAM COMPRIMIDO 10 MG	 	0	134
135	DIAZEPAM COMPRIMIDO 5 MG	 	0	135
136	DIAZEPAM SOLUÇÃO INJETÁVEL 5 MG/ML	NÃO INFORMADO	0	136
137	DICLOFENACO DE SÓDIO COMPRIMIDO 50 MG	 	0	137
138	DILTIAZEM COMPRIMIDO 30 MG	 	0	138
139	DILTIAZEM COMPRIMIDO 60 MG	 	0	139
140	DIMENIDRINATO + CLORIDRATO DE PIRIDOXINA SOLUÇÃO INJETÁVEL 50 MG/ML + 50 MG/ML	NÃO INFORMADO	0	140
141	DIOSMINA + HESPERIDINA COMPRIMIDO 450 + 50 MG	 	0	141
142	DIPIRONA SÓDICA SOLUÇÃO 500 MG/ML	NÃO INFORMADO	0	142
143	DIPIRONA SÓDICA COMPRIMIDO 500 MG	 	0	143
144	DIPIRONA SÓDICA SOLUÇÃO INJETÁVEL 500 MG/ML	NÃO INFORMADO	0	144
146	DOMPERIDONA SUSPENSÃO ORAL 1MG/ML	NÃO INFORMADO	0	146
147	DOPAMINA SOLUÇÃO INJETÁVEL 5 MG/ML	NÃO INFORMADO	0	147
148	DORZOLAMIDA SUSPENSÃO OFTÁLMICA 20MG/ML	NÃO INFORMADO	0	148
149	DOXICICLINA COMPRIMIDO 100 MG	 	0	149
150	EFEDRINA SOLUÇÃO INJETÁVEL 50MG/ML	NÃO INFORMADO	0	150
151	ENALAPRIL, MALEATO COMPRIMIDO 10MG	 	0	151
152	ENALAPRIL, MALEATO COMPRIMIDO 20MG	 	0	152
153	ENOXAPARINA SÓDICA SOLUÇÃO INJETÁVEL 40MG/0,4ML	NÃO INFORMADO	0	153
154	EPINEFRINA SOLUÇÃO INJETÁVEL 1MG/ML	NÃO INFORMADO	0	154
155	ERITROMICINA COMPRIMIDO REVESTIDO 500MG	 	0	155
156	ERITROMICINA SUSPENSÃO ORAL 50 ML/ML	NÃO INFORMADO	0	156
157	ESCOPOLAMINA, BUTILBROMETO + DIPIRONA COMPRIMIDO 10 MG + 250 MG	NÃO INFORMADO	0	157
159	ESCOPOLAMINA, BUTILBROMETO + DIPIRONA SOLUÇÃO INJETÁVEL 4 MG + 500 MG/ML	NÃO INFORMADO	0	159
160	ESCOPOLAMINA, BUTILBROMETO + DIPIRONA SOLUÇÃO ORAL 6,67 MG/ML + 333,4 MG/ML	NÃO INFORMADO	0	160
161	ESCOPOLAMINA, BUTILBROMETO COMPRIMIDO 10MG	 	0	161
162	ESCOPOLAMINA, BUTILBROMETO SOLUÇÃO INJETÁVEL 20MG/ML	NÃO INFORMADO	0	162
163	ESPINHEIRA-SANTA (MAYTENUS ILICIFOLIA MART. EX REISSEK) CÁPSULA	 	0	163
164	ESPINHEIRA-SANTA (MAYTENUS ILICIFOLIA MART. EX REISSEK) - SUSPENSÃO ORAL	NÃO INFORMADO	0	164
165	ESPINHEIRA-SANTA (MAYTENUS ILICIFOLIA MART. EX REISSEK) - TINTURA	NÃO INFORMADO	0	165
166	ESPIRAMICINA COMPRIMIDO 1,5 MUI	NÃO INFORMADO	0	166
167	ESPIRONOLACTONA COMPRIMIDO 25 MG	 	0	167
168	ESPIRONOLACTONA COMPRIMIDO 100 MG	 	0	168
169	ESTRIOL CREME VAGINAL 1 MG/G.	NÃO INFORMADO	0	169
170	ESTROGÊNIOS CONJUGADOS COMPRIMIDO 0,3MG	 	0	170
171	ESTROGÊNIOS CONJUGADOS CREME VAGINAL 0,625 MG/G.	NÃO INFORMADO	0	171
172	ETINILESTRADIOL + LEVONORGESTREL COMPRIMIDO 0,03MG + 0,15MG	 	0	172
173	ETOMIDATO SOLUÇÃO INJETÁVEL 2 MG/ML	NÃO INFORMADO	0	173
174	FENILEFRINA SOLUÇÃO OFTÁLMICA 100MG/ML	NÃO INFORMADO	0	174
175	FENITOÍNA COMPRIMIDO 100MG	 	0	175
176	FENITOÍNA SOLUÇÃO INJETÁVEL 50MG/ML, SÓDICA	NÃO INFORMADO	0	176
177	FENOBARBITAL COMPRIMIDO 100MG SÓDICO	 	0	177
178	FENOBARBITAL SOLUÇÃO INJETÁVEL 100MG/ML, SÓDICO	NÃO INFORMADO	0	178
179	FENOBARBITAL SOLUÇÃO ORAL 40MG/ML, SÓDICO	NÃO INFORMADO	0	179
180	FENOFIBRATO CÁPSULA 200 MG	 	0	180
181	FENOTEROL SOLUÇÃO 5 MG/ML, BROMIDRATO	NÃO INFORMADO	0	181
182	FENTANILA SOLUÇÃO INJETÁVEL 50 MCG/ML	NÃO INFORMADO	0	182
183	FINASTERIDA COMPRIMIDO 5 MG	 	0	183
184	FITOMENADIONA (VITAMINA K) SOLUÇÃO INJETÁVEL 10MG/ML	NÃO INFORMADO	0	184
185	FLUCONAZOL COMPRIMIDO 150 MG	 	0	185
186	FLUORESCEÍNA SÓDICA SOLUÇÃO OFTÁLMICA 1%	NÃO INFORMADO	0	186
187	FLUOXETINA COMPRIMIDO 20MG	 	0	187
188	FOLINATO DE CÁLCIO (ÁCIDO FOLÍNICO) COMPRIMIDO 15MG	 	0	188
189	FORMOTEROL AEROSSOL ORAL 12 MCG/DOSE	 	0	189
190	FUROSEMIDA COMPRIMIDO 40 MG	FUROSEMIDA	0	190
191	FUROSEMIDA SOLUÇÃO INJETÁVEL 10MG/ML	NÃO INFORMADO	0	191
192	GABAPENTINA COMPRIMIDO 400 MG	 	0	192
193	GARRA-DO-DIABO (HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.) - CÁPSULA	 	0	193
194	GARRA-DO-DIABO (HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.) - COMPRIMIDO DE LIBERAÇÃO PROLONGADA	 	0	194
195	GENTAMICINA SOLUÇÃO INJETÁVEL 40MG/ML	NÃO INFORMADO	0	195
196	GENTAMICINA SOLUÇÃO OFTÁLMICA 5MG/ML	NÃO INFORMADO	0	196
197	GLIBENCLAMIDA COMPRIMIDO 5MG	 	0	197
198	GLICERINA SOLUÇÃO DE GLICERINA 12%	NÃO INFORMADO	0	198
199	GLICERINA SUPOSITÓRIO DE 1,44G DE GLICEROL (USO PEDIÁTRICO)	NÃO INFORMADO	0	199
200	GLICLAZIDA COMPRIMIDO 30MG	 	0	200
201	GLICLAZIDA COMPRIMIDO 60MG	NÃO INFORMADO	0	201
202	GLICONATO DE CÁLCIO SOLUÇÃO INJETÁVEL 100 MG/ML	NÃO INFORMADO	0	202
203	GLICOSAMINA + CONDROITINA PÓ PARA SOLUÇÃO ORAL 1,5G + 1,2G	 	0	203
204	GLICOSAMINA PÓ PARA SOLUÇÃO ORAL 1,5 G	 	0	204
205	GLICOSE 5% FRASCO 250 ML	NÃO INFORMADO	0	205
206	GLICOSE 5% FRASCO 500 ML	NÃO INFORMADO	0	206
207	GLICOSE HIPERTÔNICA 50% SOLUÇÃO INJETÁVEL 10ML	NÃO INFORMADO	0	207
208	GLIMEPIRIDA COMPRIMIDO 2MG	 	0	208
209	GUACO (MIKANIA GLOMERATA SPRENG.) XAROPE	NÃO INFORMADO	0	209
210	HALOPERIDOL COMPRIMIDO 1 MG	 	0	210
211	HALOPERIDOL COMPRIMIDO 5MG	 	0	211
212	HALOPERIDOL SOLUÇÃO ORAL 2MG/ML	NÃO INFORMADO	0	212
213	HALOPERIDOL SOLUÇÃO INJETÁVEL 5 MG/ML	NÃO INFORMADO	0	213
214	HALOPERIDOL DECANOATO SOLUÇÃO INJETÁVEL 50 MG/ML	NÃO INFORMADO	0	214
215	HEDERA HELIX L. - XAROPE	NÃO INFORMADO	0	215
216	HIDRALAZINA DRÁGEA 50 MG	 	0	216
217	HIDROCLOROTIAZIDA COMPRIMIDO 50 MG	 	0	217
218	HIDROCLOROTIAZIDA COMPRIMIDO 12,5 MG	 	0	218
219	HIDROCLOROTIAZIDA COMPRIMIDO 25 MG	 	0	219
220	HIDROCORTISONA CREME DERMATOLÓGICO 10MG/G (1%), ACETATO	NÃO INFORMADO	0	220
221	HIDROCORTISONA PÓ LIOFILIZADO INJETÁVEL 100 MG	NÃO INFORMADO	0	221
222	HIDROCORTISONA PÓ LIOFILIZADO INJETÁVEL 500 MG	NÃO INFORMADO	0	222
224	HIDROGEL GEL (BISNAGA)	NÃO INFORMADO	0	224
225	HIDROXICLOROQUINA COMPRIMIDO REVESTIDO 400MG	 	0	225
226	HIDRÓXIDO DE ALUMÍNIO SUSPENSÃO ORAL 60MG/ML	NÃO INFORMADO	0	226
227	HIDROXIQUINOLINA + TROLAMINA SOLUÇÃO OTOLÓGICA DE HIDROXIQUINOLINA 0.4MG /ML + TROLAMINA 140 MG/ML	NÃO INFORMADO	0	227
228	HIDROXIZINA COMPRIMIDO 25MG	 	0	228
229	HIDROXIZINA SOLUÇÃO ORAL 2 MG/ML	NÃO INFORMADO	0	229
230	HORTELÃ (MENTHA X PIPERITA L.) - CÁPSULA	 	0	230
231	IBUPROFENO SOLUÇÃO GOTAS 100MG/ML	NÃO INFORMADO	0	231
232	IBUPROFENO COMPRIMIDO 600 MG	 	0	232
233	IMIPRAMINA COMPRIMIDO 25 MG	 	0	233
234	IMIPRAMINA COMPRIMIDO 75 MG	 	0	234
235	INDAPAMIDA DRÁGEA 2,5 MG	 	0	235
236	INSULINA GLARGINA SOLUÇÃO INJETÁVEL 100 UI/ML	NÃO INFORMADO	0	236
237	INSULINA HUMANA (ANÁLOGO) AÇÃO ULTRA RÁPIDA, CANETA DESCARTÁVEL	NÃO INFORMADO	0	237
238	INSULINA HUMANA NPH SUSPENSÃO INJETÁVEL 100 UI/ML	NÃO INFORMADO	0	238
239	INSULINA HUMANA REGULAR SUSPENSÃO INJETÁVEL 100 UI/ML	NÃO INFORMADO	0	239
240	IPRATRÓPIO SOLUÇÃO AEROSSOL DE 20 MCG/DOSE	NÃO INFORMADO	0	240
241	IPRATRÓPIO SOLUÇÃO PARA INALAÇÃO 0,25 MG/ML	NÃO INFORMADO	0	241
242	ISOCONAZOL, NITRATO CREME VAGINAL 10 MG/G	NÃO INFORMADO	0	242
243	ISOFLAVONA-DE-SOJA [GLYCINE MAX (L.) MERR.] - CÁPSULA	NÃO INFORMADO	0	243
244	ISOSSORBIDA, DINITRATO COMPRIMIDO SUB LINGUAL 5MG	 	0	244
245	ISOSSORBIDA, DINITRATO COMPRIMIDO10MG	 	0	245
246	ISOSSORBIDA, MONONITRATO COMPRIMIDO 20 MG	 	0	246
247	ITRACONAZOL CÁPSULA 100 MG	 	0	247
248	IVERMECTINA COMPRIMIDO 6 MG	NÃO INFORMADO	0	248
249	LACTULOSE XAROPE 667 MG/ML	NÃO INFORMADO	0	249
250	LAMOTRIGINA COMPRIMIDO 25 MG	 	0	250
251	LAMOTRIGINA COMPRIMIDO 50 MG	 	0	251
252	LATANOPROSTA SOLUÇÃO OFTÁLMICA 50 MCG/ML	NÃO INFORMADO	0	252
253	LATANOPROSTA + TIMOLOL SOLUÇÃO OFTÁLMICA 50 MCG/ML LATANOPROSTA + 5MG/ML DE MALEATO DE TIMOLOL	NÃO INFORMADO	0	253
254	LEFLUNOMIDA COMPRIMIDO REVESTIDO 20MG	 	0	254
255	LEVODOPA + BENSERAZIDA CÁPSULA 200 MG + 50 MG	 	0	255
256	LEVODOPA + BENSERAZIDA BD CÁPSULA 100 MG + 25 MG	NÃO INFORMADO	0	256
257	LEVODOPA + CARBIDOPA COMPRIMIDO 250 MG + 25 MG	 	0	257
258	LEVOFLOXACINO COMPRIMIDO 500 MG	 	0	258
259	LEVOMEPROMAZINA COMPRIMIDO 25 MG, MALEATO	 	0	259
260	LEVOMEPROMAZINA COMPRIMIDO 100 MG, MALEATO	 	0	260
261	LEVOMEPROMAZINA SOLUÇÃO ORAL 40 MG/ML, MALEATO	NÃO INFORMADO	0	261
262	LEVONORGESTREL COMPRIMIDO 0,75 MCG	 	0	262
263	LEVOTIROXINA SÓDICA COMPRIMIDO 25 MCG	 	0	263
264	LEVOTIROXINA SÓDICA COMPRIMIDO 50 MCG	 	0	264
265	LEVOTIROXINA SÓDICA COMPRIMIDO 100 MCG	 	0	265
266	LIDOCAÍNA SOLUÇÃO INJETÁVEL 20MG/ML	NÃO INFORMADO	0	266
267	LIDOCAÍNA GELÉIA TÓPICA 20MG/G	NÃO INFORMADO	0	267
268	LIDOCAÍNA, CLORIDRATO + EPINEFRINA SOLUÇÃO INJETÁVEL 20 MG/ML DE CLORIDRATO DE LIDOCAÍNA + 0,005MG/ML DE EPINEFRINA	NÃO INFORMADO	0	268
269	LÍTIO, CARBONATO COMPRIMIDO 300 MG	 	0	269
270	LORATADINA COMPRIMIDO 10 MG	 	0	270
271	LORATADINA SOLUÇÃO ORAL 1 MG/ML	NÃO INFORMADO	0	271
272	LOSARTANA POTÁSSICA COMPRIMIDO REVESTIDO 25 MG	 	0	272
273	LOSARTANA POTÁSSICA COMPRIMIDO REVESTIDO 50 MG	 	0	273
274	MANITOL SOLUÇÃO INJETÁVEL 200 MG/ML (20%)	NÃO INFORMADO	0	274
275	MARACUJÁ (PASSIFLORA INCARNATA L.) - COMPRIMIDO	 	0	275
276	MEBENDAZOL COMPRIMIDO 100 MG	 	0	276
277	MEBENDAZOL SUSPENSÃO ORAL 20 MG/ML	NÃO INFORMADO	0	277
278	MEDROXIPROGESTERONA ACETATO COMPRIMIDO 10 MG	 	0	278
279	MEDROXIPROGESTERONA ACETATO SOLUÇÃO INJETÁVEL 150 MG/ML	NÃO INFORMADO	0	279
280	MESILATO DE DOXAZOSINA COMPRIMIDO 2 MG	 	0	280
281	METFORMINA COMPRIMIDO 500 MG	 	0	281
282	METFORMINA COMPRIMIDO 850 MG	 	0	282
283	METILDOPA COMPRIMIDO 250 MG	 	0	283
284	METILDOPA COMPRIMIDO 500 MG	 	0	284
285	METOCLOPRAMIDA COMPRIMIDO 10 MG	 	0	285
286	METOCLOPRAMIDA SOLUÇÃO INJETÁVEL 5MG/ML	NÃO INFORMADO	0	286
287	METOPROLOL COMPRIMIDO 25 MG, SUCCINATO	 	0	287
288	METOPROLOL COMPRIMIDO 50 MG, SUCCINATO	 	0	288
289	METOTREXATO COMPRIMIDO REVESTIDO 2,5 MG	 	0	289
290	METRONIDAZOL COMPRIMIDO 250 MG	 	0	290
291	METRONIDAZOL SUSPENSÃO ORAL 40 MG/ML	NÃO INFORMADO	0	291
292	METRONIDAZOL GEL VAGINAL 100 MG/G	NÃO INFORMADO	0	292
